Country,Code,Year,"Total_population","GDP_per_capita",Per_capita_plastic_waste,Continent
Poland,POL,2010,38330000,21770.64444,0.097,Europe
Portugal,PRT,2010,10596000,27238.46067,0.265,Europe
Puerto Rico,PRI,2010,3580000,33924.05401,0.252,North America
Qatar,QAT,2010,1856000,125140.8383,0.16,Asia
Romania,ROU,2010,20472000,17553.2833,0.042,Europe
Russia,RUS,2010,143479008,23107.78522,0.112,Asia
Saint Kitts and Nevis,KNA,2010,49000,21412.20145,0.654,North America
Saint Lucia,LCA,2010,174000,12123.83514,0.522,North America
Saint Vincent and the Grenadines,VCT,2010,108000,9915.577619,0.221,North America
Samoa,WSM,2010,186000,5399.893096,0.103,Oceania
Sao Tome and Principe,STP,2010,180000,2641.513948,0.103,Africa
Saudi Arabia,SAU,2010,27421000,45421.22848,0.156,Africa
Senegal,SEN,2010,12678000,2183.995051,0.103,Africa
Seychelles,SYC,2010,91000,20365.11893,0.358,Africa
Sierra Leone,SLE,2010,6416000,1199.98985,0.041,Africa
Singapore,SGP,2010,5131000,72115.8395,0.194,Asia
Slovenia,SVN,2010,2043000,28678.37263,0.145,Europe
Solomon Islands,SLB,2010,528000,1871.369352,0.103,Oceania
South Africa,ZAF,2010,51217000,11887.80503,0.24,Africa
South Korea,KOR,2010,49546000,30352.10482,0.112,Asia
Spain,ESP,2010,46931000,32507.09397,0.277,Europe
Sri Lanka,LKA,2010,20262000,8529.571442,0.357,Asia
Sudan,SDN,2010,34545000,3366.096261,0.103,Africa
Suriname,SUR,2010,529000,14211.87752,0.163,South America
Sweden,SWE,2010,9390000,42942.5625,0.048,Europe
Tanzania,TZA,2010,44347000,2090.583225,0.023,Africa
Thailand,THA,2010,67195000,13486.56241,0.144,Asia
Togo,TGO,2010,6422000,1208.28121,0.057,Africa
Tonga,TON,2010,104000,4984.19363,0.223,Oceania
Trinidad and Tobago,TTO,2010,1328000,31260.90705,0.29,North America
Tunisia,TUN,2010,10635000,10436.3656,0.144,Africa
Turkey,TUR,2010,72327000,17959.25911,0.212,Asia
Tuvalu,TUV,2010,11000,2986.449856,0.144,Oceania
Ukraine,UKR,2010,45792000,7824.498452,0.103,Europe
United Arab Emirates,ARE,2010,8550000,57232.61808,0.199,Asia
United Kingdom,GBR,2010,63460000,36366.98318,0.215,Europe
United States,USA,2010,309011008,49374.17889,0.335,North America
Uruguay,URY,2010,3359000,17082.40466,0.252,South America
Vanuatu,VUT,2010,236000,2948.032937,0.295,Oceania
Venezuela,VEN,2010,28440000,16544.97206,0.252,South America
Vietnam,VNM,2010,87968000,4408.168612,0.103,Asia
Yemen,YEM,2010,23155000,4478.743599,0.103,Asia
