Country,Year,"Total population",Continent,"GDP_per_capita",Per_capita_mismanaged_plastic_waste
Singapore,2010,5131000,Asia,72115.8395,0.004
Slovenia,2010,2043000,Europe,28678.37263,0.005
Solomon Islands,2010,528000,Oceania,1871.369352,0.09
South Africa,2010,51217000,Africa,11887.80503,0.134
South Korea,2010,49546000,Asia,30352.10482,0.001
Spain,2010,46931000,Europe,32507.09397,0.006
Sri Lanka,2010,20262000,Asia,8529.571442,0.299
Sudan,2010,34545000,Africa,3366.096261,0.083
Suriname,2010,529000,South America,14211.87752,0.027
Sweden,2010,9390000,Europe,42942.5625,0.001
Tanzania,2010,44347000,Africa,2090.583225,0.02
Thailand,2010,67195000,Asia,13486.56241,0.108
Togo,2010,6422000,Africa,1208.28121,0.049
Tonga,2010,104000,Oceania,4984.19363,0.176
Trinidad and Tobago,2010,1328000,North America,31260.90705,0.19
Tunisia,2010,10635000,Africa,10436.3656,0.088
Turkey,2010,72327000,Asia,17959.25911,0.039
Tuvalu,2010,11000,Oceania,2986.449856,0.108
Ukraine,2010,45792000,Europe,7824.498452,0.052
United Arab Emirates,2010,8550000,Asia,57232.61808,0.004
United Kingdom,2010,63460000,Europe,36366.98318,0.004
United States,2010,309011008,North America,49374.17889,0.007
Uruguay,2010,3359000,South America,17082.40466,0.024
Vanuatu,2010,236000,Oceania,2948.032937,0.245
Venezuela,2010,28440000,South America,16544.97206,0.017
Vietnam,2010,87968000,Asia,4408.168612,0.09
Yemen,2010,23155000,Asia,4478.743599,0.077
